id,title,authors,languages,subjects,copyright,media_type,download_count
31284,Josefine Mutzenbacher: oder Die Geschichte einer Wienerischen Dirne von ihr selbst erzählt,"Salten, Felix",de,Austrian fiction; Erotic stories,False,Text,9899
2650,Du côté de chez Swann,"Proust, Marcel",fr,Autobiographical fiction; France -- Social life and customs -- 19th century -- Fiction; Villages -- France -- Fiction,False,Text,9025
17489,Les misérables Tome I: Fantine,"Hugo, Victor",fr,Epic literature; Ex-convicts -- Fiction; Historical fiction; Orphans -- Fiction; Paris (France) -- Fiction,False,Text,7523
5740,Tractatus Logico-Philosophicus,"Wittgenstein, Ludwig",de; en,"Language and languages -- Philosophy; Logic, Symbolic and mathematical",False,Text,5527
70891,Notre-Dame de Paris - Tome 1,"Hugo, Victor",fr,"Clergy -- Fiction; France -- History -- Louis XI, 1461-1483 -- Fiction; Historical fiction; Notre-Dame de Paris (Cathedral) -- Fiction; Paris (France) -- History -- To 1515 -- Fiction; People with disabilities -- Fiction; Romances",False,Text,3978
17989,"Le comte de Monte-Cristo, Tome I","Dumas, Alexandre; Maquet, Auguste",fr,"Adventure stories; Dantès, Edmond (Fictitious character) -- Fiction; France -- History -- 19th century -- Fiction; Historical fiction; Pirates -- Fiction; Prisoners -- Fiction; Revenge -- Fiction",False,Text,3846
13951,Les trois mousquetaires,"Dumas, Alexandre; Maquet, Auguste",fr,"Adventure and adventurers -- Fiction; France -- History -- Louis XIII, 1610-1643 -- Fiction; Historical fiction; Swordsmen -- Fiction",False,Text,3779
22367,Die Verwandlung,"Kafka, Franz",de,Metamorphosis -- Fiction; Psychological fiction,False,Text,3525
24571,Der Struwwelpeter: oder lustige Geschichten und drollige Bilder,"Hoffmann, Heinrich",de,"Behavior -- Fiction; Children -- Conduct of life -- Juvenile fiction; Children's poetry, German; Children's stories, German; Picture books for children; Stories in rhyme",False,Text,3329
70954,Trois femmes,"Mille, Pierre",fr,French fiction -- 20th century,False,Text,2931
6099,Les Fleurs du Mal,"Baudelaire, Charles",fr,French poetry -- 19th century,False,Text,2904
32854,"Arsène Lupin, gentleman-cambrioleur","Leblanc, Maurice",fr,"Adventure stories, French; Burglars -- Fiction; Lupin, Arsène (Fictitious character) -- Fiction; Mystery and detective stories; Short stories",False,Text,2755
71062,Charmes,"Valéry, Paul",fr,French poetry -- 20th century,False,Text,2456
14155,Madame Bovary,"Flaubert, Gustave",fr,Adultery -- Fiction; Domestic fiction; France -- Fiction; Married women -- Fiction; Middle class -- Fiction; Physicians' spouses -- Fiction; Suicide victims -- Fiction,False,Text,2197
52006,Les liaisons dangereuses: Lettres recueillies dans une Société et publiées pour l'instruction de quelques autres,"Laclos, Choderlos de",fr,Aristocracy (Social class) -- Fiction; Epistolary fiction; France -- Fiction; Man-woman relationships -- Fiction; Mock-heroic literature; Seduction -- Fiction,False,Text,2092
36708,Soeur Thérèse de l'Enfant-Jésus et de la Sainte Face: Histoire d'une âme écrite par elle-même,"Thérèse, de Lisieux, Saint",fr,"Christian saints -- France -- Lisieux -- Biography; Lisieux (France) -- Biography; Thérèse, de Lisieux, Saint, 1873-1897",False,Text,1969
7205,Also sprach Zarathustra: Ein Buch für Alle und Keinen,"Nietzsche, Friedrich Wilhelm",de,"Philosophy, German; Superman (Philosophical concept)",False,Text,1810
13846,Discours de la méthode,"Descartes, René",fr,Methodology; Science -- Methodology,False,Text,1663
2499,Siddhartha: eine indische Dichtung,"Hesse, Hermann",de,Brahmans -- Fiction; Buddhism -- Fiction; Buddhist philosophy -- Fiction; Gautama Buddha -- Fiction; India -- Religion -- Fiction; India -- Social life and customs -- Fiction; Self-realization -- Fiction; Spiritual life -- Fiction,False,Text,1654
22823,Zimmerblattpflanzen,"Dammer, Udo",de,Foliage plants; House plants,False,Text,1538
21000,Faust: Eine Tragödie [erster Teil],"Goethe, Johann Wolfgang von",de,"Faust, -approximately 1540 -- Drama; German poetry; Legends -- Germany -- Drama; Magicians -- Drama",False,Text,1483
63380,"Proverbes sur les femmes, l'amitié, l'amour et le mariage","Quitard, P.-M. (Pierre-Marie)",fr,"Proverbs, French",False,Text,1448
43851,La Comédie humaine - Volume 02,"Balzac, Honoré de",fr,France -- Social life and customs -- 19th century -- Fiction,False,Text,1425
14287,L'île mystérieuse,"Verne, Jules",fr,Adventure stories; Castaways -- Fiction; Islands of the Pacific -- Fiction; Science fiction,False,Text,1387
48529,Essais de Montaigne (self-édition) - Volume I,"Montaigne, Michel de",fr,French essays,False,Text,1347
12949,Contes Français,,fr,"French fiction; Short stories, French",False,Text,1301
798,Le rouge et le noir: chronique du XIXe siècle,Stendhal,fr,Ambition -- Fiction; Bildungsromans; Church and state -- Fiction; France -- Fiction; Young men -- France -- Fiction,False,Text,1280
41907,Demian: Die Geschichte von Emil Sinclairs Jugend,"Hesse, Hermann",de,Bildungsromans; Germany -- Social conditions -- 1918-1933 -- Fiction; Young men -- Germany -- Fiction,False,Text,1221
29376,Bahnwärter Thiel,"Hauptmann, Gerhart",de,German fiction -- 19th century,False,Text,1204
