id,title,authors,languages,subjects,copyright,media_type,download_count
31284,Josefine Mutzenbacher: oder Die Geschichte einer Wienerischen Dirne von ihr selbst erzählt,"Salten, Felix",de,Austrian fiction; Erotic stories,False,Text,9899
5740,Tractatus Logico-Philosophicus,"Wittgenstein, Ludwig",de; en,"Language and languages -- Philosophy; Logic, Symbolic and mathematical",False,Text,5527
22367,Die Verwandlung,"Kafka, Franz",de,Metamorphosis -- Fiction; Psychological fiction,False,Text,3525
24571,Der Struwwelpeter: oder lustige Geschichten und drollige Bilder,"Hoffmann, Heinrich",de,"Behavior -- Fiction; Children -- Conduct of life -- Juvenile fiction; Children's poetry, German; Children's stories, German; Picture books for children; Stories in rhyme",False,Text,3329
7205,Also sprach Zarathustra: Ein Buch für Alle und Keinen,"Nietzsche, Friedrich Wilhelm",de,"Philosophy, German; Superman (Philosophical concept)",False,Text,1810
2499,Siddhartha: eine indische Dichtung,"Hesse, Hermann",de,Brahmans -- Fiction; Buddhism -- Fiction; Buddhist philosophy -- Fiction; Gautama Buddha -- Fiction; India -- Religion -- Fiction; India -- Social life and customs -- Fiction; Self-realization -- Fiction; Spiritual life -- Fiction,False,Text,1654
22823,Zimmerblattpflanzen,"Dammer, Udo",de,Foliage plants; House plants,False,Text,1538
21000,Faust: Eine Tragödie [erster Teil],"Goethe, Johann Wolfgang von",de,"Faust, -approximately 1540 -- Drama; German poetry; Legends -- Germany -- Drama; Magicians -- Drama",False,Text,1483
41907,Demian: Die Geschichte von Emil Sinclairs Jugend,"Hesse, Hermann",de,Bildungsromans; Germany -- Social conditions -- 1918-1933 -- Fiction; Young men -- Germany -- Fiction,False,Text,1221
29376,Bahnwärter Thiel,"Hauptmann, Gerhart",de,German fiction -- 19th century,False,Text,1204
24746,Reise in die Aequinoctial-Gegenden des neuen Continents. Band 2.,"Humboldt, Alexander von",de,Geology -- South America; Natural history -- South America; South America -- Description and travel; South America -- History,False,Text,1202
23393,Japanische Märchen,,de,Fairy tales; Folklore -- Japan,False,Text,1028
2229,Faust: Der Tragödie erster Teil,"Goethe, Johann Wolfgang von",de,"Faust, -approximately 1540 -- Drama; German poetry; Legends -- Germany -- Drama; Magicians -- Drama",False,Text,1012
21593,Das Urteil: Eine Geschichte,"Kafka, Franz",de,Conflict of generations -- Fiction; Fathers and sons -- Fiction,False,Text,964
34099,"In Stahlgewittern, aus dem Tagebuch eines Stoßtruppführers","Jünger, Ernst",de,"Jünger, Ernst, 1895-1998; Soldiers -- Germany -- Diaries; World War, 1914-1918 -- Personal narratives, German",False,Text,947
34811,Buddenbrooks: Verfall einer Familie,"Mann, Thomas",de,Domestic fiction; Families -- Fiction; Germany -- Fiction,False,Text,933
65661,Der Zauberberg. Erster Band,"Mann, Thomas",de,Germany -- Fiction; Sanatoriums -- Fiction,False,Text,931
47406,Aphorismen zur Lebensweisheit,"Schopenhauer, Arthur",de,Conduct of life; Maxims; Philosophy,False,Text,922
17161,Max und Moritz: Eine Bubengeschichte in sieben Streichen,"Busch, Wilhelm",de,"Children's poetry, German; Practical jokes -- Juvenile poetry; Wit and humor",False,Text,883
40739,Die Traumdeutung,"Freud, Sigmund",de,Dream interpretation; Dreams; Psychoanalysis,False,Text,817
74449,Westmark : $b Roman aus dem Elsaß,"Lienhard, Friedrich",de,Alsace (France) -- Fiction; Families -- Fiction,False,Text,801
19778,Alice's Abenteuer im Wunderland,"Carroll, Lewis",de,Alice (Fictitious character from Carroll) -- Juvenile fiction; Children's stories; Fantasy fiction; Imaginary places -- Juvenile fiction,False,Text,790
20051,Märchen der Gebrüder Grimm 2,"Grimm, Jacob; Grimm, Wilhelm",de,Fairy tales -- Germany,False,Sound,749
49908,Unterm Rad,"Hesse, Hermann",de,Education -- Germany -- Fiction; Germany -- Fiction,False,Text,703
43759,Geflügelte Worte: Der Citatenschatz des deutschen Volkes,"Büchmann, Georg; Robert-tornow, Walter",de,"Quotations; Quotations, German",False,Text,696
39762,Etymologisches Wörterbuch der deutschen Seemannssprache,"Goedel, Gustav",de,Naval art and science -- Dictionaries -- German; Sailors -- Germany -- Language -- Dictionaries; Seafaring life -- Dictionaries -- German,False,Text,650
38126,Der Untertan,"Mann, Heinrich",de,"German fiction -- 20th century; Germany -- Politics and government -- Fiction; Satire, German",False,Text,649
37266,Reigen: Zehn Dialoge,"Schnitzler, Arthur",de,Adultery -- Drama; Love -- Drama; Man-woman relationships -- Drama; Prostitutes -- Drama; Vienna (Austria) -- Social life and customs -- Drama,False,Text,628
46873,Zum ewigen Frieden: Ein philosophischer Entwurf,"Kant, Immanuel",de,International organization; Peace,False,Text,596
24249,Die Harzreise,"Heine, Heinrich",de,German poetry -- 19th century; Harz Mountains (Germany) -- Description and travel,False,Text,585
60360,Der Wille zur Macht: Eine Auslegung alles Geschehens,"Nietzsche, Friedrich Wilhelm",de,Nihilism (Philosophy); Philosophy; Power (Philosophy); Values,False,Text,585
2403,Die Wahlverwandtschaften,"Goethe, Johann Wolfgang von",de,"Adultery -- Fiction; Aristocracy (Social class) -- Fiction; German fiction -- 19th century; Love stories, German; Social problems -- Fiction",False,Text,584
69327,Der Prozess: Roman,"Kafka, Franz",de,Allegories; Trials -- Fiction,False,Text,583
6343,Kritik der reinen Vernunft: Zweite hin und wieder verbesserte Auflage (1787),"Kant, Immanuel",de,"Causation; Knowledge, Theory of; Philosophy, German; Reason",False,Text,581
39573,Die Germania,"Tacitus, Cornelius",de,Germanic peoples -- Early works to 1800,False,Text,571
47804,Die Räuber: Ein Schauspiel,"Schiller, Friedrich",de,Brothers -- Drama; German drama; Inheritance and succession -- Drama; Tragedies,False,Text,565
74386,Einer Mutter Sohn,"Viebig, Clara",de,Adopted children -- Fiction; Berlin (Germany) -- Fiction,False,Text,555
12108,Der Tod in Venedig,"Mann, Thomas",de,Homosexuality -- Fiction; Middle age -- Fiction; Parables; Psychological fiction; Venice (Italy) -- Fiction,False,Text,552
35312,Aus dem Leben eines Taugenichts: Novelle,"Eichendorff, Joseph, Freiherr von",de,Bildungsromans; Fathers and sons -- Fiction; German fiction; Young men -- Fiction,False,Text,546
34717,Die Verwirrungen des Zöglings Törleß,"Musil, Robert",de,Adolescence -- Fiction; Authoritarianism -- Fiction; Military education -- Fiction,False,Text,534
34222,Das Unheimliche,"Freud, Sigmund",de,"Psychoanalysis; Uncanny, The (Psychoanalysis)",False,Text,513
65662,Der Zauberberg. Zweiter Band,"Mann, Thomas",de,Germany -- Fiction; Sanatoriums -- Fiction,False,Text,513
2407,Die Leiden des jungen Werther — Band 1,"Goethe, Johann Wolfgang von",de,Germany -- Social life and customs -- Fiction; Unrequited love -- Fiction; Young men -- Germany -- Fiction,False,Text,504
44956,"Anna Karenina, 1. Band","Tolstoy, Leo, graf",de,Adultery -- Fiction; Didactic fiction; Love stories; Married women -- Fiction; Russia -- Fiction; Russian fiction -- Translations into German,False,Text,494
30165,Die Abenteuer Tom Sawyers,"Twain, Mark",de,"Adventure stories; Bildungsromans; Boys -- Fiction; Child witnesses -- Fiction; Humorous stories; Male friendship -- Fiction; Mississippi River Valley -- Fiction; Missouri -- Fiction; Runaway children -- Fiction; Sawyer, Tom (Fictitious character) -- Fiction",False,Text,489
45661,L'Âme aux deux patries: Sieben Studien,"Kolb, Annette",de,France -- Relations -- Germany; German essays; Germany -- Relations -- France,False,Text,479
7204,Jenseits von Gut und Böse,"Nietzsche, Friedrich Wilhelm",de,"Ethics; Philosophy, German",False,Text,474
6342,Kritik der reinen Vernunft: (Erste Fassung 1781),"Kant, Immanuel",de,"Causation; Knowledge, Theory of; Philosophy, German; Reason",False,Text,468
19163,Märchen für Kinder,"Andersen, H. C. (Hans Christian)",de,Fairy tales -- Denmark,False,Text,464
5322,Woyzeck,"Büchner, Georg",de,Germany -- Drama; Murderers -- Drama; Soldiers -- Mental health -- Drama,False,Text,463
30655,Ein Hungerkünstler,"Kafka, Franz",de,Fiction; Short stories,False,Text,461
