id,title,authors,languages,subjects,copyright,media_type,download_count
2650,Du côté de chez Swann,"Proust, Marcel",fr,Autobiographical fiction; France -- Social life and customs -- 19th century -- Fiction; Villages -- France -- Fiction,False,Text,9025
17489,Les misérables Tome I: Fantine,"Hugo, Victor",fr,Epic literature; Ex-convicts -- Fiction; Historical fiction; Orphans -- Fiction; Paris (France) -- Fiction,False,Text,7523
70891,Notre-Dame de Paris - Tome 1,"Hugo, Victor",fr,"Clergy -- Fiction; France -- History -- Louis XI, 1461-1483 -- Fiction; Historical fiction; Notre-Dame de Paris (Cathedral) -- Fiction; Paris (France) -- History -- To 1515 -- Fiction; People with disabilities -- Fiction; Romances",False,Text,3978
17989,"Le comte de Monte-Cristo, Tome I","Dumas, Alexandre; Maquet, Auguste",fr,"Adventure stories; Dantès, Edmond (Fictitious character) -- Fiction; France -- History -- 19th century -- Fiction; Historical fiction; Pirates -- Fiction; Prisoners -- Fiction; Revenge -- Fiction",False,Text,3846
13951,Les trois mousquetaires,"Dumas, Alexandre; Maquet, Auguste",fr,"Adventure and adventurers -- Fiction; France -- History -- Louis XIII, 1610-1643 -- Fiction; Historical fiction; Swordsmen -- Fiction",False,Text,3779
70954,Trois femmes,"Mille, Pierre",fr,French fiction -- 20th century,False,Text,2931
6099,Les Fleurs du Mal,"Baudelaire, Charles",fr,French poetry -- 19th century,False,Text,2904
32854,"Arsène Lupin, gentleman-cambrioleur","Leblanc, Maurice",fr,"Adventure stories, French; Burglars -- Fiction; Lupin, Arsène (Fictitious character) -- Fiction; Mystery and detective stories; Short stories",False,Text,2755
71062,Charmes,"Valéry, Paul",fr,French poetry -- 20th century,False,Text,2456
14155,Madame Bovary,"Flaubert, Gustave",fr,Adultery -- Fiction; Domestic fiction; France -- Fiction; Married women -- Fiction; Middle class -- Fiction; Physicians' spouses -- Fiction; Suicide victims -- Fiction,False,Text,2197
52006,Les liaisons dangereuses: Lettres recueillies dans une Société et publiées pour l'instruction de quelques autres,"Laclos, Choderlos de",fr,Aristocracy (Social class) -- Fiction; Epistolary fiction; France -- Fiction; Man-woman relationships -- Fiction; Mock-heroic literature; Seduction -- Fiction,False,Text,2092
