sale_id,date,category,location,amount
1001,2023-01-01,Games,Galway,104.14
1002,2023-01-01,Clothing,Dublin,49.42
1003,2023-01-01,Books,Cork,19.54
1004,2023-01-01,Games,Galway,60.08
1005,2023-01-02,Electronics,Dublin,99.77
1006,2023-01-02,Books,Cork,13.4
1007,2023-01-02,Books,Dublin,10.76
1008,2023-01-02,Books,Dublin,18.03
1009,2023-01-02,Electronics,Dublin,59.73
1010,2023-01-02,Clothing,Galway,51.1
1011,2023-01-02,Clothing,Dublin,47.93
1012,2023-01-03,Clothing,Limerick,31.16
1013,2023-01-03,Clothing,Cork,42.83
1014,2023-01-03,Electronics,Limerick,78.62
1015,2023-01-03,Clothing,Dublin,26.0
1016,2023-01-03,Games,Dublin,69.1
1017,2023-01-03,Clothing,Dublin,42.86
1018,2023-01-03,Games,Waterford,89.58
1019,2023-01-03,Books,Cork,28.03
1020,2023-01-03,Games,Limerick,63.67
1021,2023-01-03,Clothing,Limerick,44.54
1022,2023-01-04,Electronics,Galway,115.41
1023,2023-01-04,Clothing,Dublin,14.41
1024,2023-01-04,Games,Galway,26.82
1025,2023-01-04,Books,Dublin,14.33
1026,2023-01-04,Books,Galway,16.95
1027,2023-01-05,Books,Limerick,15.83
1028,2023-01-05,Clothing,Cork,42.77
1029,2023-01-05,Games,Dublin,66.15
1030,2023-01-05,Electronics,Galway,91.09
1031,2023-01-05,Books,Dublin,18.19
1032,2023-01-05,Electronics,Dublin,94.94
1033,2023-01-05,Games,Galway,40.06
1034,2023-01-06,Clothing,Cork,28.69
1035,2023-01-06,Games,Dublin,31.13
1036,2023-01-06,Electronics,Galway,97.27
1037,2023-01-06,Games,Galway,47.66
1038,2023-01-06,Books,Limerick,24.51
1039,2023-01-07,Books,Limerick,16.19
1040,2023-01-07,Clothing,Galway,69.95
1041,2023-01-07,Books,Dublin,10.03
1042,2023-01-07,Clothing,Dublin,42.95
1043,2023-01-07,Books,Limerick,9.32
1044,2023-01-07,Clothing,Cork,40.01
1045,2023-01-07,Electronics,Cork,105.39
1046,2023-01-07,Electronics,Dublin,87.65
1047,2023-01-07,Clothing,Galway,39.53
1048,2023-01-07,Books,Galway,18.25
1049,2023-01-07,Clothing,Galway,72.32
1050,2023-01-08,Books,Dublin,11.95
1051,2023-01-08,Books,Galway,11.22
1052,2023-01-08,Clothing,Dublin,34.8
1053,2023-01-09,Books,Dublin,15.74
1054,2023-01-09,Books,Dublin,12.6
1055,2023-01-09,Games,Cork,61.18
1056,2023-01-09,Books,Cork,20.12
1057,2023-01-09,Electronics,Waterford,76.11
1058,2023-01-09,Games,Limerick,87.26
1059,2023-01-10,Clothing,Dublin,22.99
1060,2023-01-10,Books,Cork,18.05
1061,2023-01-10,Books,Limerick,16.93
1062,2023-01-11,Electronics,Limerick,121.26
1063,2023-01-11,Books,Cork,13.12
1064,2023-01-11,Electronics,Galway,93.46
1065,2023-01-12,Clothing,Cork,50.22
1066,2023-01-12,Books,Dublin,20.18
1067,2023-01-12,Clothing,Cork,39.53
1068,2023-01-12,Books,Cork,24.7
1069,2023-01-12,Clothing,Cork,24.92
1070,2023-01-12,Books,Galway,11.29
1071,2023-01-12,Books,Waterford,15.94
1072,2023-01-12,Clothing,Cork,29.01
1073,2023-01-12,Clothing,Waterford,19.26
1074,2023-01-13,Games,Galway,79.65
1075,2023-01-13,Clothing,Waterford,54.42
1076,2023-01-13,Clothing,Galway,7.88
1077,2023-01-13,Games,Galway,69.85
1078,2023-01-13,Games,Galway,73.84
1079,2023-01-13,Games,Cork,29.06
1080,2023-01-13,Clothing,Galway,59.39
1081,2023-01-13,Electronics,Galway,67.99
1082,2023-01-13,Electronics,Cork,82.59
1083,2023-01-13,Clothing,Limerick,37.56
1084,2023-01-14,Electronics,Limerick,97.29
1085,2023-01-14,Games,Waterford,57.85
1086,2023-01-14,Clothing,Dublin,43.32
1087,2023-01-14,Games,Cork,32.9
1088,2023-01-14,Electronics,Cork,113.13
1089,2023-01-14,Clothing,Limerick,49.99
1090,2023-01-14,Books,Limerick,12.31
1091,2023-01-14,Clothing,Cork,31.47
1092,2023-01-14,Clothing,Limerick,61.11
1093,2023-01-14,Electronics,Galway,99.63
1094,2023-01-14,Books,Galway,10.47
1095,2023-01-15,Books,Waterford,13.04
1096,2023-01-15,Games,Galway,70.57
1097,2023-01-15,Books,Cork,5.14
1098,2023-01-15,Books,Dublin,10.67
1099,2023-01-15,Games,Galway,64.42
1100,2023-01-16,Electronics,Cork,71.65
1101,2023-01-16,Electronics,Cork,114.1
1102,2023-01-16,Games,Waterford,27.69
1103,2023-01-16,Clothing,Limerick,19.22
1104,2023-01-16,Books,Dublin,8.35
1105,2023-01-16,Games,Galway,50.83
1106,2023-01-16,Clothing,Limerick,33.83
1107,2023-01-16,Clothing,Waterford,28.43
1108,2023-01-17,Games,Cork,52.21
1109,2023-01-17,Electronics,Galway,77.93
1110,2023-01-17,Books,Dublin,16.27
1111,2023-01-17,Clothing,Dublin,49.74
1112,2023-01-17,Clothing,Limerick,45.38
1113,2023-01-17,Books,Limerick,9.6
1114,2023-01-17,Clothing,Dublin,53.54
1115,2023-01-17,Games,Galway,53.24
1116,2023-01-18,Clothing,Dublin,52.5
1117,2023-01-18,Books,Galway,19.88
1118,2023-01-18,Clothing,Waterford,34.18
1119,2023-01-18,Books,Limerick,18.92
1120,2023-01-18,Clothing,Cork,29.37
1121,2023-01-18,Books,Dublin,17.93
1122,2023-01-18,Games,Galway,17.57
1123,2023-01-18,Electronics,Limerick,100.16
1124,2023-01-18,Electronics,Cork,90.39
1125,2023-01-19,Clothing,Galway,14.83
1126,2023-01-19,Clothing,Galway,45.01
1127,2023-01-19,Clothing,Cork,32.01
1128,2023-01-19,Clothing,Dublin,71.77
1129,2023-01-19,Games,Galway,53.95
1130,2023-01-19,Clothing,Dublin,74.54
1131,2023-01-20,Electronics,Limerick,100.94
1132,2023-01-20,Electronics,Dublin,77.05
1133,2023-01-20,Books,Cork,16.53
1134,2023-01-21,Electronics,Cork,93.65
